iter	Passed	Remaining
891	28247	3420
892	28272	3387
893	28295	3354
894	28318	3322
895	28337	3289
896	28361	3256
897	28384	3224
898	28404	3191
899	28432	3159
900	28463	3127
901	28489	3095
902	28513	3062
903	28536	3030
904	28561	2998
905	28588	2966
906	28611	2933
907	28637	2901
908	28665	2869
909	28685	2837
910	28712	2805
911	28737	2772
912	28757	2740
913	28793	2709
914	28817	2676
915	28844	2645
916	28873	2613
917	28902	2581
918	28925	2549
919	28952	2517
920	28980	2485
921	29006	2453
922	29036	2422
923	29058	2390
924	29080	2357
925	29106	2325
926	29127	2293
927	29150	2261
928	29174	2229
929	29197	2197
930	29220	2165
931	29256	2134
932	29300	2104
933	29331	2072
934	29352	2040
935	29381	2008
936	29405	1977
937	29436	1945
938	29467	1914
939	29495	1882
940	29520	1850
941	29549	1819
942	29577	1787
943	29600	1755
944	29622	1724
945	29653	1692
946	29682	1661
947	29710	1629
948	29735	1598
949	29757	1566
950	29783	1534
951	29806	1502
952	29839	1471
953	29869	1440
954	29900	1408
955	29923	1377
956	29946	1345
957	29971	1313
958	29996	1282
959	30017	1250
960	30046	1219
961	30079	1188
962	30110	1156
963	30134	1125
964	30159	1093
965	30182	1062
966	30222	1031
967	30262	1000
968	30293	969
969	30316	937
970	30341	906
971	30366	874
972	30391	843
973	30411	811
974	30433	780
975	30469	749
976	30492	717
977	30511	686
978	30535	654
979	30563	623
980	30584	592
981	30608	561
982	30632	529
983	30663	498
984	30694	467
985	30718	436
986	30739	404
987	30762	373
988	30790	342
989	30812	311
990	30842	280
991	30877	249
992	30911	217
993	30941	186
994	30968	155
995	30995	124
996	31031	93
997	31079	62
998	31112	31
999	31140	0
